Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1000481;Форма банка (без печати работодателя);Отпуск;1;0.39;мужской;0;0;высшее;менеджер среднего звена;>250;0;141;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000501;Форма банка (без печати работодателя);Ремонт;1;0.28;мужской;0;0;высшее;менеджер высшего звена;>250;0;145;58;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000521;Форма банка (без печати работодателя);Покупка автомобиля;0;0.46;мужской;1;0;незаконченное высшее;менеджер по продажам;>250;0;23;26;Торговля;ООО;женат / замужем;1;0;0;0;0;0;1;1;0;0;0.2307692308;3;10;110;13;2;1;4;44;0;0;0;0;0;0;0
1;1000541;Поступление зарплаты на счет;Ремонт;1;0.37;мужской;0;0;высшее;специалист;>250;0;33;43;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000561;Форма банка (без печати работодателя);Ремонт;1;0.48;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>250;0;114;39;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.027173913;0;1;0;0;0.6923076923;9;4;179;13;4;0;4;30;1;0;0;0;0;0;0
1;1000581;Форма банка (без печати работодателя);Ремонт;0;0.42;женский;2;0;высшее;менеджер среднего звена;>250;0;96;32;Торговля;ООО;женат / замужем;1;0;0;0;0;0;1;1;0;0;0.5555555556;5;4;162;9;3;0;4;44;0;0;0;0;0;0;0
1;1000601;2НДФЛ;Ремонт;1;0.57;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000621;2НДФЛ;Ремонт;0;0.18;женский;0;0;высшее;менеджер среднего звена;< 50;0;51;42;Торговля;ЗАО;женат / замужем;1;1;0;0;0;0;0;0;0;0;0;0;2;61;2;0;1;56;65;0;0;0;0;0;0;0
1;1000641;Поступление зарплаты на счет;Ремонт;0;0.3;мужской;0;0;среднее;вспомогательный персонал;>250;0;16;27;Торговля;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;9;1;1;0;8;8;0;0;0;0;0;0;0
1;1000661;Форма банка (без печати работодателя);Ремонт;1;0.52;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;27;28;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000681;Форма банка (без печати работодателя);Покупка автомобиля;0;0.42;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;156;49;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0416666667;1;0;0;0;0.2222222222;3;6;92;9;2;3;7;98;1;0;0;0;0;0;0
1;1000701;Свободная форма с печатью работодателя;Ремонт;1;0.43;женский;1;0;среднее-специальное;менеджер среднего звена;< 50;0;8;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000721;Поступление зарплаты на счет;Ремонт;1;0.36;женский;0;0;среднее;рабочий;>250;0;27;50;Торговля;ОАО;разведен / разведена;0;0;0;0;0;0.2456140351;0;0;0;0;0.3333333333;1;2;43;3;0;0;31;62;1;1;1;1;0;0;0
1;1000741;Форма банка (без печати работодателя);Покупка автомобиля;1;0.59;мужской;0;0;среднее;специалист;>250;0;53;26;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1206896552;0;0;0;0;0;0;4;51;4;0;1;18;54;1;1;0;0;0;0;0
1;1000761;Форма банка (без печати работодателя);Покупка мебели;1;0.37;мужской;1;0;высшее;специалист;>250;0;69;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000781;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.45;мужской;1;0;незаконченное высшее;менеджер высшего звена;< 50;0;34;30;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000801;Поступление зарплаты на счет;Ремонт;1;0.46;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;0;21;30;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;2;0;0;1;2;0;4;2;1;0;3;3;0;0;0;0;0;0;0
1;1000821;Поступление зарплаты на счет;Покупка автомобиля;0;0.47;мужской;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000841;Поступление зарплаты на счет;Отпуск;1;0.49;мужской;0;0;высшее;специалист;>250;0;61;32;Информационные технологии;ООО;женат / замужем;5;3;1;1;1;0.0757575758;1;1;0;0;0.5;3;3;122;6;1;3;4;74;1;0;0;0;0;0;0
1;1000861;2НДФЛ;Ремонт;0;0.42;мужской;0;0;высшее;рабочий;>250;0;133;43;Другое;ООО;холост / не замужем;6;6;6;6;6;;0;0;0;0;0;0;1;0;1;0;0;104;104;0;0;0;0;0;0;0
1;1000881;2НДФЛ;Ремонт;1;0.42;мужской;0;0;среднее-специальное;рабочий;>250;0;78;25;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000901;2НДФЛ;Покупка автомобиля;0;0.36;женский;0;0;высшее;специалист;>250;1;14;34;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000921;;Покупка мебели;0;;женский;1;0;Высшее/Второе высшее/Ученая степень;другое;;0;77;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000941;2НДФЛ;Покупка недвижимости/ строительство;0;0.06;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;38;39;Другое;ООО;женат / замужем;0;0;0;0;0;0.0388349515;1;0;0;0;0.5;2;2;99;4;2;0;11;100;1;0;0;0;0;0;0
1;1000961;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;1;0;второе высшее;специалист;< 50;0;35;39;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000981;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.47;женский;0;0;высшее;вспомогательный персонал;< 50;0;38;25;Торговля;Индивидуальный предприниматель;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.4285714286;3;4;52;7;1;1;6;18;0;0;0;0;0;0;0
1;1001001;Свободная форма с печатью работодателя;Ремонт;1;0.59;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001021;Форма банка (без печати работодателя);Ремонт;0;0.45;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;72;41;Сельское и лесное хозяйство;Государственное предприятие;холост / не замужем;1;0;0;0;0;0.0373831776;0;0;0;0;0.6666666667;4;2;103;6;2;0;8;87;1;0;0;0;0;0;0
1;1001041;Форма банка (без печати работодателя);Обучение;1;0.2;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;9;43;Другое;ООО;разведен / разведена;1;1;1;1;0;0;0;1;0;0;0.5;2;2;40;4;2;1;5;22;0;0;0;0;0;0;0
1;1001061;2НДФЛ;Другое;0;0.59;мужской;1;0;среднее-специальное;специалист;>250;0;85;33;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.3333333333;1;2;45;3;1;2;18;45;0;0;0;0;0;0;0
1;1001081;2НДФЛ;Ремонт;1;0.19;мужской;0;0;среднее-специальное;рабочий;>250;1;123;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001101;2НДФЛ;Ремонт;0;0.13;женский;0;0;второе высшее;менеджер среднего звена;>250;0;15;39;Другое;ООО;холост / не замужем;2;1;1;1;1;0.015503876;0;1;0;0;0.2222222222;2;7;127;9;1;5;3;94;1;0;0;0;1;0;0
1;1001121;Поступление зарплаты на счет;Покупка автомобиля;0;0.37;женский;1;0;среднее-специальное;рабочий;>250;0;20;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001141;2НДФЛ;Покупка автомобиля;0;0.45;мужской;2;0;среднее-специальное;специалист;>250;0;106;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001161;Поступление зарплаты на счет;Ремонт;1;0.22;женский;0;0;высшее;специалист;>250;1;58;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001181;2НДФЛ;Покупка недвижимости/ строительство;0;0.46;мужской;0;0;среднее-специальное;рабочий;>250;0;376;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001201;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001221;Поступление зарплаты на счет;Ремонт;0;0.3;мужской;0;0;среднее;специалист;>250;0;39;32;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.0392156863;0;1;0;0;0.1666666667;1;5;49;6;1;4;3;23;1;0;0;0;0;0;0
1;1001241;Форма банка (без печати работодателя);Ремонт;1;0.58;женский;0;0;среднее-специальное;рабочий;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001261;2НДФЛ;Покупка бытовой техники;1;0.35;женский;0;0;высшее;менеджер по продажам;< 50;1;26;26;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001281;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.56;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001301;Поступление зарплаты на счет;Ремонт;1;0.26;мужской;2;0;высшее;менеджер среднего звена;>250;1;206;42;Информационные технологии;ОАО;женат / замужем;0;0;0;0;0;0.0276243094;1;1;0;0;0.4444444444;4;5;176;9;2;1;5;80;1;0;0;0;0;0;0
1;1001321;Поступление зарплаты на счет;Покупка автомобиля;1;0.32;женский;2;0;среднее-специальное;вспомогательный персонал;>250;0;78;40;Другое;ООО;женат / замужем;2;1;1;1;1;0.0304878049;1;0;0;0;0.3333333333;2;4;159;6;1;2;13;92;1;0;0;0;0;0;0
1;1001341;Поступление зарплаты на счет;Отпуск;1;0.45;женский;0;0;высшее;специалист;>250;1;23;45;Другое;ООО;холост / не замужем;1;1;0;0;0;0;0;1;1;1;1;3;0;17;3;1;0;1;17;0;0;0;0;0;0;0
1;1001361;2НДФЛ;Покупка недвижимости/ строительство;0;0.33;женский;0;0;высшее;специалист;>250;0;46;39;Информационные технологии;ОАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;1;0;36;1;1;0;92;92;0;0;0;0;0;0;0
1;1001381;2НДФЛ;Покупка автомобиля;1;0.19;женский;0;0;среднее;вспомогательный персонал;>250;0;10;37;Другое;Государственное предприятие;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001401;Поступление зарплаты на счет;Ремонт;1;0.39;мужской;0;0;среднее-специальное;торговый представитель;>250;0;60;25;Торговля;ОАО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1;1001421;Поступление зарплаты на счет;Ремонт;0;0.34;женский;1;0;второе высшее;специалист;>250;0;104;31;Информационные технологии;ОАО;женат / замужем;0;0;0;0;0;0;0;2;0;0;0.5;3;3;71;6;2;1;4;53;0;0;0;0;0;0;0
1;1001441;;Покупка автомобиля;0;;мужской;0;0;высшее;другое;;1;12;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001461;2НДФЛ;Ремонт;0;0.45;мужской;2;0;высшее;специалист;>250;0;72;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001481;Форма банка (без печати работодателя);Покупка автомобиля;0;0.31;мужской;1;0;незаконченное высшее;менеджер среднего звена;>250;0;10;31;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001501;2НДФЛ;Ремонт;0;;мужской;1;0;высшее;другое;;1;74;40;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001521;Поступление зарплаты на счет;Отпуск;1;0.16;мужской;1;0;среднее;рабочий;>250;0;28;23;Торговля;ЗАО;разведен / разведена;1;1;1;1;1;0;0;0;0;0;0.3333333333;1;2;24;3;1;0;7;23;0;0;0;0;0;0;0
1;1001541;Свободная форма с печатью работодателя;Обучение;1;0.52;женский;3;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;13;41;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001561;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.42;женский;1;0;второе высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001581;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;женский;2;0;среднее-специальное;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001601;2НДФЛ;Ремонт;0;0.45;женский;0;0;высшее;менеджер среднего звена;>250;0;7;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001621;Форма банка (без печати работодателя);Ремонт;0;0.3;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;49;43;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001641;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;0;0;высшее;специалист;>250;0;6;24;Торговля;Иная форма;холост / не замужем;0;0;0;0;0;0.0566037736;0;0;0;0;0.5;2;2;50;4;0;0;7;33;1;0;0;0;0;0;0
1;1001661;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;*n.a.*;специалист;>250;1;8;28;Информационные технологии;ООО;разведен / разведена;6;6;6;6;6;0.1048034934;1;1;0;0;0.2777777778;5;13;205;18;3;1;3;93;1;0;0;0;0;0;0
1;1001681;Свободная форма с печатью работодателя;Ремонт;0;0.4;женский;1;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001701;2НДФЛ;Ремонт;0;0.44;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;15;35;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001721;Форма банка (без печати работодателя);Другое;1;0.29;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;55;26;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001741;Поступление зарплаты на счет;Ремонт;0;0.23;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;51;28;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0.2746478873;1;0;0;0;0.2;1;4;103;5;0;3;16;50;1;0;0;0;0;0;0
1;1001761;Поступление зарплаты на счет;Ремонт;0;0.44;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001781;Форма банка (без печати работодателя);Ремонт;1;0.28;мужской;0;0;среднее;вспомогательный персонал;>250;0;38;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001801;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;0;0;среднее;рабочий;>250;0;36;28;Торговля;ООО;холост / не замужем;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;
1;1001821;2НДФЛ;Ремонт;1;0.14;женский;1;0;высшее;вспомогательный персонал;< 50;0;27;41;Юридические услуги;Иная форма;женат / замужем;0;0;0;0;0;0.1382978723;0;0;0;0;0;0;3;81;3;0;2;58;72;1;0;0;0;0;0;0
1;1001841;2НДФЛ;Ремонт;1;0.29;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;41;42;Торговля;ОАО;женат / замужем;2;2;1;1;1;0;0;0;0;0;1;3;0;34;3;1;0;11;32;0;0;0;0;0;0;0
1;1001861;Поступление зарплаты на счет;Покупка бытовой техники;0;0.42;мужской;1;0;среднее-специальное;специалист;>250;0;35;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001881;2НДФЛ;Покупка недвижимости/ строительство;1;0.09;мужской;1;0;высшее;менеджер среднего звена;>250;3;216;43;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001901;Поступление зарплаты на счет;Покупка автомобиля;0;0.34;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;102;26;Другое;ЗАО;холост / не замужем;0;0;0;0;0;0.0153846154;0;0;0;0;0.1666666667;1;5;64;6;0;2;5;33;1;0;0;0;0;0;0
1;1001921;Форма банка (без печати работодателя);Ремонт;0;0.56;мужской;0;0;высшее;вспомогательный персонал;>250;0;77;47;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001941;Форма банка (без печати работодателя);Ремонт;0;0.25;женский;1;0;высшее;менеджер среднего звена;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001961;Форма банка (без печати работодателя);Другое;1;0.21;женский;1;0;высшее;специалист;< 50;0;188;51;Другое;ООО;женат / замужем;0;0;0;0;0;0.0303030303;0;0;0;0;0.2;1;4;96;5;0;1;7;79;1;0;0;0;0;0;0
1;1001981;2НДФЛ;Ремонт;0;0.56;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;10;43;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002001;Форма банка (без печати работодателя);Покупка автомобиля;0;0.21;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002021;Поступление зарплаты на счет;Ремонт;1;0.21;мужской;2;0;среднее;специалист;>250;1;6;34;Другое;ООО;женат / замужем;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;2;2;0;0;0;0;0;0;0
1;1002041;Форма банка (без печати работодателя);Ремонт;1;0.14;мужской;0;0;незаконченное высшее;менеджер по продажам;>250;0;76;29;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.1526717557;1;0;0;0;0.4285714286;3;4;111;7;3;2;11;59;1;0;0;0;0;0;0
1;1002061;Форма банка (без печати работодателя);Ремонт;1;0.35;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002081;Форма банка (без печати работодателя);Ремонт;1;0.26;мужской;0;0;высшее;рабочий;>250;0;6;30;Торговля;ООО;холост / не замужем;1;1;0;0;0;0.3039215686;1;0;0;0;0.3333333333;2;1;71;3;1;1;8;80;1;0;0;0;0;0;0
1;1002101;Свободная форма с печатью работодателя;Ремонт;0;0.35;мужской;2;0;высшее;менеджер высшего звена;< 50;1;8;29;Торговля;ООО;повторный брак;1;1;0;0;0;0;0;0;0;0;0.6666666667;2;1;100;3;2;1;28;46;0;0;0;0;0;0;0
1;1002121;Поступление зарплаты на счет;Покупка автомобиля;1;0.21;женский;1;0;высшее;торговый представитель;>250;0;44;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002141;Свободная форма с печатью работодателя;Ремонт;1;0.32;женский;0;0;высшее;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002161;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;женский;0;0;высшее;вспомогательный персонал;< 50;1;9;25;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0322580645;0;0;0;0;0.5;1;1;30;2;1;0;11;73;1;0;0;0;0;0;0
1;1002181;Поступление зарплаты на счет;Покупка автомобиля;1;0.34;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002201;Свободная форма с печатью работодателя;Ремонт;1;0.24;женский;2;0;высшее;вспомогательный персонал;< 50;0;32;39;Торговля;ООО;женат / замужем;15;15;9;8;7;0.0273972603;0;0;0;0;0.1666666667;1;5;71;6;0;0;22;76;1;0;0;0;0;0;0
1;1002221;2НДФЛ;Ремонт;1;0.5;мужской;0;0;высшее;специалист;>250;0;459;38;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002241;2НДФЛ;Ремонт;1;0.36;мужской;0;0;высшее;специалист;>250;0;142;32;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002261;Поступление зарплаты на счет;Покупка автомобиля;0;0.27;мужской;0;0;высшее;менеджер среднего звена;>250;1;6;49;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002281;Поступление зарплаты на счет;Лечение;1;0.36;женский;1;0;высшее;специалист;>250;0;29;30;Торговля;ООО;холост / не замужем;2;0;0;0;0;0;0;1;1;0;1;1;0;2;1;0;0;2;2;0;0;0;0;0;0;0
1;1002301;Поступление зарплаты на счет;Ремонт;1;0.18;женский;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002321;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;2;0;незаконченное высшее;вспомогательный персонал;>250;0;82;44;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
